date,gdp,gdp_yoy,orders,employment,consumer_sentiment,unemploy_claims,bus_outlook,auto_sales,construction,itrade,wtrade
2007-03-31,14215.7,1.6,,438405.0,92.2,4107000.0,4.6000000000000005,50.503,103042.0,-178675.0,1015866.0
2007-06-30,14402.1,1.9,,437552.0,86.89999999999999,4074000.0,7.966666666666666,49.455,109915.0,-180064.0,1050552.0
2007-09-30,14564.1,2.4,,437831.0,85.73333333333335,4100000.0,4.6000000000000005,48.748000000000005,130550.0,-175619.0,1058549.0
2007-12-31,14715.1,2.1,,438814.0,77.5,4398000.0,3.033333333333333,48.839,142533.0,-176639.0,1096167.0
2008-03-31,14706.5,1.4,,438620.0,72.89999999999999,4559000.0,-17.8,46.31,146243.0,-185765.0,1128746.0
2008-06-30,14865.7,1.4,,437777.0,59.6,4805000.0,-18.066666666666666,43.679,158285.0,-186932.0,1180625.0
2008-09-30,14899.0,0.3,,435811.0,64.83333333333333,5613000.0,-10.566666666666666,40.086,165015.0,-189676.0,1176051.0
2008-12-31,14608.2,-2.5,,432271.0,57.666666666666664,6756000.0,-38.666666666666664,31.842,176786.0,-149979.0,1021858.0
2009-03-31,14430.9,-3.2,,424499.0,58.26666666666667,8073000.0,-35.03333333333333,28.756999999999998,196283.0,-98313.0,933258.0
2009-06-30,14381.2,-4.0,,420913.0,68.2,7964000.0,-15.799999999999999,29.704,187927.0,-83465.0,930551.0
2009-09-30,14448.9,-3.1,,418211.0,68.39999999999999,7252000.0,5.833333333333333,35.855000000000004,167195.0,-100228.0,963554.0
2009-12-31,14651.2,0.1,,415104.0,70.16666666666667,6545000.0,14.833333333333334,32.901,146922.0,-112765.0,1002455.0
2010-03-31,14764.6,1.7,,415770.0,73.86666666666666,6223000.0,13.700000000000001,32.980000000000004,140720.0,-119518.0,1043711.0
2010-06-30,14980.2,2.9,,417679.0,73.93333333333334,6015000.0,17.733333333333334,35.082,132808.0,-130900.0,1072108.0
2010-09-30,15141.6,3.3,,418013.0,68.3,6010000.0,5.266666666666667,35.884,119047.0,-131563.0,1087453.0
2010-12-31,15309.5,2.8,,417464.0,71.26666666666667,5620000.0,11.600000000000001,37.319,103723.0,-121108.0,1131786.0
2011-03-31,15351.4,2.0,34.7,418283.0,73.06666666666666,5364000.0,27.266666666666666,39.146,99180.0,-137189.0,1188632.0
2011-06-30,15557.5,1.7,61.0,418594.0,71.86666666666666,5466000.0,6.2,37.492,114621.0,-140291.0,1215834.0
2011-09-30,15647.7,0.9,-12.000000000000002,419649.0,59.666666666666664,5372000.0,-7.7,38.68,131602.0,-134599.0,1236498.0
2011-12-31,15842.3,1.5,34.099999999999994,422096.0,64.8,5454000.0,4.2,41.271,138660.0,-142445.0,1252275.0
2012-03-31,16068.8,2.6,116.10000000000001,425478.0,75.5,4797000.0,8.866666666666667,43.964,135644.0,-142655.0,1291919.0
2012-06-30,16207.1,2.4,39.7,426496.0,76.3,4917000.0,-2.6,43.732,141780.0,-134889.0,1298094.0
2012-09-30,16319.5,2.6,23.5,427627.0,74.96666666666665,4892000.0,-5.033333333333333,43.923,145112.0,-125230.0,1295403.0
2012-12-31,16420.4,1.6,36.9,430094.0,79.39999999999999,4874000.0,-3.0999999999999996,45.748,148346.0,-123133.0,1317202.0
2013-03-31,16648.2,1.7,14.100000000000001,429970.0,76.66666666666667,4583000.0,-1.6333333333333335,47.395,152418.0,-115453.0,1337919.0
2013-06-30,16728.7,1.5,70.4,431516.0,81.66666666666667,4503000.0,4.466666666666666,47.844,149181.0,-114614.0,1336563.0
2013-09-30,16953.8,2.2,83.9,433008.0,81.56666666666666,4307000.0,14.833333333333334,47.705,163308.0,-112890.0,1346691.0
2013-12-31,17192.0,3.0,73.4,432794.0,76.93333333333334,4459000.0,7.333333333333333,47.641000000000005,164457.0,-103904.0,1375917.0
2014-03-31,17197.7,1.7,53.1,435932.0,80.93333333333334,4253000.0,10.0,48.592,161819.0,-120492.0,1380833.0
2014-06-30,17518.5,2.7,87.2,437739.0,82.83333333333333,4114000.0,16.466666666666665,51.348,166915.0,-122205.0,1413979.0
2014-09-30,17804.2,3.1,107.5,439707.0,82.96666666666665,3897000.0,21.933333333333334,51.475,180099.0,-117542.0,1420070.0
2014-12-31,17912.1,2.7,87.9,442446.0,89.76666666666667,3751000.0,25.166666666666668,50.883,216667.0,-123713.0,1402380.0
2015-03-31,18063.5,4.0,84.6,444318.0,95.5,3779000.0,10.466666666666667,51.697,237885.0,-121500.0,1339867.0
2015-06-30,18279.8,3.3,60.099999999999994,446144.0,94.23333333333333,3609000.0,7.833333333333333,53.510999999999996,256147.0,-120763.0,1355976.0
2015-09-30,18401.6,2.4,48.2,446837.0,90.73333333333333,3565000.0,2.1666666666666665,54.989999999999995,255012.0,-126186.0,1348635.0
2015-12-31,18435.1,2.1,68.4,448837.0,91.3,3493000.0,-5.766666666666667,54.087,249693.0,-122327.0,1328607.0
2016-03-31,18525.9,1.8,48.6,452810.0,91.56666666666666,3518000.0,-0.4666666666666662,53.441,238812.0,-120151.0,1294662.0
2016-06-30,18711.7,1.5,39.0,453429.0,92.39999999999999,3489000.0,-1.0666666666666667,53.099000000000004,245781.0,-118798.0,1321260.0
2016-09-30,18892.6,1.8,52.5,455094.0,90.33333333333333,3357000.0,6.333333333333333,53.992000000000004,241217.0,-117083.0,1339556.0
2016-12-31,19089.4,2.2,48.6,455904.0,93.06666666666666,3523000.0,14.666666666666666,54.023,229454.0,-123427.0,1370531.0
2017-03-31,19280.1,2.1,71.2,457697.0,97.23333333333333,2832000.0,31.96666666666667,52.412000000000006,215308.0,-124465.0,1401780.0
2017-06-30,19438.6,2.3,58.4,459642.0,96.36666666666667,3087000.0,27.866666666666664,51.376999999999995,216550.0,-130791.0,1397573.0
2017-09-30,19692.6,2.4,54.4,461358.0,95.10000000000001,3607000.0,22.366666666666664,52.601,208061.0,-126838.0,1425355.0
2017-12-31,20037.1,3.0,45.5,461318.0,98.36666666666667,3173000.0,27.3,54.372,209476.0,-134846.0,1489173.0
2018-03-31,20328.6,3.3,71.6,464836.0,98.93333333333334,2954000.0,25.0,52.285,210846.0,-139221.0,1491172.0
2018-06-30,20580.9,3.3,77.8,466726.0,98.33333333333333,2884000.0,25.233333333333334,53.156,214331.0,-132869.0,1532922.0
2018-09-30,20798.7,3.1,88.0,467665.0,98.06666666666666,2698000.0,18.5,52.969,220620.0,-149106.0,1545404.0
